EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
the use,388,the performance,200,the performance,171,the performance,115,the performance,61,improve,836,improve,301
the integration,50,the accuracy,140,the accuracy,140,the accuracy,112,the accuracy,55,using,313,using,263
the application,47,the-art,41,terms,45,terms,45,terms,51,achieve,218,compared to,128
the incorporation,45,high accuracy,37,the-art,25,accuracy,34,it,40,ec1,172,achieve,64
the performance,45,the quality,23,high accuracy,24,performance,31,the implications,29,ec1 using,104,capture,58
a transformer-based architecture,44,higher accuracy,22,performance,21,they,30,accuracy,28,incorporating,80,measured by,52
the proposed method,31,the nuances,20,low-resource languages,17,high accuracy,26,high accuracy,24,affect,75,compare to,52
the accuracy,31,better performance,17,machine translation systems,16,low-resource languages,25,low-resource languages,21,used to improve,68,affect,51
the proposed approach,27,word embeddings,16,languages,15,it,25,performance,21,outperform,66,leveraging,50
large language models,27,the efficiency,15,better performance,15,languages,24,they,21,used,41,incorporating,42
word embeddings,26,bert,15,text,15,machine translation systems,19,english,19,enhance,39,reducing,37
a combination,24,machine learning algorithms,14,the quality,14,the impact,19,the key factors,19,trained,39,translating,36
the proposed model,24,the effectiveness,12,word embeddings,14,the quality,18,the impact,17,provide,37,detecting,34
it,23,-,11,the efficiency,14,the overall performance,18,their performance,16,to improve,34,to improve,32
the combination,22,languages,10,english,14,the-art,18,this approach,15,capture,31,improving,27
machine learning models,22,domain,10,the development,13,the implications,15,the-art,15,reduce,29,identifying,26
the inclusion,21,low-resource languages,9,speech,13,their performance,15,the quality,14,used to develop,28,ec8,26
the addition,21,the detection,9,they,13,the key factors,13,metrics,14,enable,25,identify,26
the development,17,named entity recognition,9,machine translation models,11,a combination,12,machine translation systems,13,used to evaluate,24,used to improve,24
high accuracy,17,language models,9,accuracy,11,machine translation,12,precision,13,learning,24,predict,24
the effectiveness,15,the translation quality,8,machine translation,11,text,12,domain,12,improving,23,can ec1,23
a deep learning-based approach,14,algorithm,8,conjunction,11,this approach,12,a model,11,compare to,22,handling,22
transformer-based models,14,knowledge distillation,8,neural machine translation systems,10,the efficiency,11,languages,11,identify,22,trained on,21
the proposed corpus,14,terms,8,it,10,low-resource language pairs,10,machine translation,11,combining,21,predicting,21
machine learning algorithms,14,a machine learning model,8,words,9,the processing time,10,the f1-score,11,used to train,20,impact,21
sequence,14,machine translation systems,8,machine learning models,9,-,10,sentiment analysis,10,evaluated using,20,maintaining,20
the proposed dataset,13,performance,7,named entity recognition,9,the nuances,10,models,10,develop,20,utilizing,20
machine translation systems,13,english,7,the nuances,9,the context,9,the context,10,annotating,20,evaluating,19
language models,12,pre-trained language models,7,sentences,8,speech,9,machine translation tasks,9,learn,19,contribute to,19
the introduction,11,the robustness,7,the processing time,8,named entity recognition,9,the effectiveness,9,ec1 utilizing,19,ec1 traine,18
the proposed system,11,large language models,7,the overall performance,8,the development,9,processing time,9,identifying,19,to achieve,18
deep learning models,11,fine-tuning,7,training,8,precision,8,machine translation models,9,impact,19,capturing,17
the proposed methodology,11,speech,7,fine-tuning,8,multiple languages,8,-,9,detecting,18,providing,17
can the use,10,the development,7,the translation quality,8,sentences,8,traditional methods,9,utilizing,18,including,17
the proposed framework,10,words,7,higher accuracy,8,the use,8,the effect,9,used to identify,17,detect,17
llms,10,text,7,the robustness,7,machine translation models,8,the overall performance,8,improved,16,evaluated using,17
a pre-trained language model,10,a combination,7,language models,7,the number,8,a combination,8,design,16,used,17
machine translation models,9,mbart,6,translations,7,better performance,8,the model,8,evaluating,16,provide,16
a machine learning-based approach,9,a transformer-based architecture,6,large language models,7,the evaluation,8,the number,8,contribute to,15,enhance,16
end,9,comparable performance,6,neural machine translation models,7,bert,8,the model's performance,8,lead to,15,evaluate,15
transformer-based language models,8,word,6,the number,7,english,8,bleu score,7,trained on,15,relate to,15
multilingual models,8,back-translation,6,a machine learning model,7,entities,7,words,7,predicting,15,extract,15
neural machine translation systems,8,the evaluation,6,features,7,the need,7,a dataset,7,detect,15,generating,14
the potential,8,linguistic features,6,sentiment,7,a dataset,7,the efficiency,7,based,15,achieving,14
a machine learning model,8,better results,5,sentiment analysis,7,language models,7,sentences,7,predict,15,reduce,13
a deep learning model,8,comparable or better performance,5,-,7,the model's performance,7,tasks,7,proposed,15,considering,13
the characteristics,7,the overall performance,5,entities,7,higher accuracy,7,speech,7,compared to,14,named,13
a model,7,comparable results,5,their performance,6,social media,6,the relationship,7,creating,14,classify,13
bert-based models,7,monolingual data,5,the correlation,6,natural language processing tasks,6,existing methods,6,including,14,combining,12
neural networks,7,contextual information,5,a combination,6,the detection,6,low-resource language pairs,6,ec1 with,13,annotating,12
the performance metrics,6,the number,5,a transformer-based architecture,6,machine translation tasks,6,llms,6,used to predict,13,answering,12
pre-trained language models,6,significant improvements,5,comparable performance,5,the robustness,6,context,6,translating,12,linking,11
the implementation,6,llms,5,entity,5,conjunction,6,downstream tasks,6,generating,12,can ec,11
a method,6,natural language processing techniques,5,the effectiveness,5,tweets,6,training,6,handle,11,incorporates,11
the choice,6,the diversity,5,back-translation,5,the challenges,6,language models,6,training,11,analyzing,11
the evaluation,6,approach,5,data,5,machine learning models,6,translation quality,6,applied to improve,11,used to evaluate,11
the proposed model's ability,6,the generalization,4,the transformer model,5,a way,6,the model's ability,6,extracting,11,to predict,11
speech,6,the processing time,4,the implications,5,large language models,6,the processing time,6,designed,11,to generate,10
the-art,6,a transformer architecture,4,context,5,a significant impact,6,effectiveness,6,utilize,10,applied to,10
a language model,6,entities,4,german,5,words,6,the development,6,evaluate,10,pairs,10
a dataset,6,neural machine translation,4,nlp models,5,metrics,6,the limitations,6,supervised,10,lead to,9
linguistic features,5,knowledge,4,back translation,5,word embeddings,6,higher accuracy,6,evaluated,10,existing,9
a multi-task learning approach,5,ensemble methods,4,the corpus,5,a high degree,6,linguistic features,6,trained to improve,10,set,9
the number,5,the transformer model,4,different languages,4,improved performance,5,text,6,leveraging,9,outperform,9
methods,5,transformer models,4,the evaluation,4,texts,5,fine-tuning,5,developed,9,based,9
the quality,5,transformer-based architectures,4,effectiveness,4,tasks,5,images,5,embedding,9,requiring,8
nmt models,5,the coherence,4,relation extraction,4,the representation,5,robustness,5,ec8,9,learning,8
metrics,5,the coverage,4,domain,4,the translation accuracy,5,translation accuracy,5,used to create,8,used to identify,8
the proposed algorithm,5,utterances,4,a language model,4,techniques,5,the translation accuracy,5,achieving,8,based on,8
training,5,relations,4,pre-trained language models,4,better results,5,ability,5,capturing,7,generate,8
the proposed methods,5,transfer learning,4,the impact,4,the precision,5,vocabulary,5,named,7,trained,8
a transformer-based model,5,models,4,nmt systems,4,the effectiveness,5,other languages,5,neural,7,to enhance,8
can recurrent neural networks,5,sentences,4,relations,4,vocabulary,5,a way,5,parsing,7,handle,8
the key differences,5,word2vec,4,contextual information,4,entity recognition,5,translations,5,developed to improve,7,evaluated by,8
a neural network model,5,byte pair encoding,4,bulgarian,4,comparable performance,5,errors,5,require,7,to detect,8
the automatic metrics,4,information,4,monolingual data,4,language,5,the results,5,to achieve,7,parsing,7
a deep neural network,4,a benchmark,4,transfer learning,4,german,5,french,5,used to generate,7,translate,7
back-translation,4,conjunction,4,multilingual models,4,the relationship,5,topics,5,trained to achieve,6,improved,7
pre-trained models,4,machine translation models,4,better results,4,translation accuracy,5,the potential benefits,5,pretrained,6,used to develop,7
adversarial training,4,the model,4,machine translation tasks,4,sentiment analysis,5,improved performance,5,ec1 in,6,applied to improve,6
networks,4,context,4,bleu scores,4,effectiveness,5,an accuracy,5,measure,6,extracting,6
the conversion,4,machine learning models,4,bert,4,a focus,5,the reduction,5,developed using,6,an ec1 be i,6
the fine-tuning,4,other languages,4,a large corpus,4,pre-trained language models,4,their ability,5,handling,6,assessing,6
multilingual embeddings,4,the complexity,4,the annotation,4,nlp tasks,4,a large corpus,5,improved to achieve,6,combined with,6
the creation,4,a rule-based approach,4,time,4,bleu score,4,the precision,5,uses,6,leverages,6
a machine translation system,4,their performance,4,entity recognition,4,the creation,4,entities,5,classify,6,estimating,6
the design,4,transfer,4,translation quality,4,sentence embeddings,4,synthetic data,4,influence,6,to capture,6
impact,4,a large corpus,4,japanese,4,different languages,4,limited training data,4,to design,6,used in,6
a set,4,the translation,3,training data,4,neural machine translation models,4,efficiency,4,requiring,5,demonstrated by,6
the proposed annotation scheme,4,the precision,3,the generation,4,fake news,4,questions,4,ec1 leveraging,5,to ec8,6
a neural network architecture,4,the consistency,3,information,4,the bleu score,4,syntactic correctness,4,estimate,5,uses,6
a transformer-based approach,4,a language model,3,sequence,4,french,4,comparison,4,to generate,5,ec1 base,5
the proposed taxonomy,4,a reliable evaluation metric,3,news articles,4,the model,4,better performance,4,based on,5,selecting,5
a pre-trained model,4,universal dependencies,3,texts,4,word sense disambiguation,4,the evaluation metric,4,incorporate,5,an ec1,5
the linguistic features,4,backtranslation,3,ability,4,task,4,computational models,4,measured by,5,correcting,5
a supervised classification model,4,consistent performance,3,low-resource language pairs,3,machine translation outputs,4,the system,4,reducing,5,achieves,5
the removal,4,algorithms,3,text classification tasks,3,them,4,the baseline model,4,incorporates,5,improved through,5
words,4,the time complexity,3,named entity recognition models,3,other languages,4,quality,4,increase,5,increasing,5
a convolutional neural network,4,different architectures,3,universal dependencies,3,errors,4,nlp tasks,4,recurrent,5,tuning,5
the limitations,3,the benefits,3,word,3,systems,4,the challenges,4,tuning,5,building,5
deep learning techniques,3,the impact,3,catalan,3,models,4,their accuracy,4,applied to,5,influencing,5
the methods,3,dependency parsing,3,linguistic features,3,fine-tuning,4,german,4,reflect,4,aligning,5
the transformation,3,the limitations,3,fake news,3,the complexity,4,the use,4,preserve,4,modeling,5
the volctrans system,3,accuracy,3,unsupervised methods,3,the reliability,4,features,4,ec1 for,4,developing,5
the proposed ontology,3,deltalm,3,-grams,3,analysis,4,evaluation metrics,4,improve parsing,4,understanding,5
a transformer model,3,translations,3,distant supervision,3,monolingual data,4,corpora,4,used to enhance,4,training,5
generative models,3,xlm-roberta,3,the extraction,3,these models,4,user satisfaction,4,to learn,4,quantify,5
machine learning-based approaches,3,the transformer architecture,3,transformer-based architectures,3,human language,4,social media posts,4,unsupervised,4,learn,5
the presence,3,a pre-trained language model,3,word relations,3,the correlation,4,this improvement,4,ec1 combining,4,to extract,5
a natural language processing technique,3,dependency trees,3,nmt models,3,answers,4,them,4,mitigate,4,measuring,5
transformer models,3,texts,3,a model,3,downstream tasks,4,the benefits,4,ec1 embedding,4,del traine,5
the proposed metric,3,a higher accuracy,3,the identification,3,domain,4,tweets,4,extract,4,analyze,5
a data-driven approach,3,machine translation,3,the model,3,features,4,techniques,4,compromising,4,utilize,5
a semi-supervised learning approach,3,other language pairs,3,the success,3,time,4,sequence,4,improved to increase,4,recognize,5
the adoption,3,cross-lingual word embeddings,3,lexical resources,3,entity,4,the training data,4,pairs,4,trained with,4
the most accurate method,3,a model,3,input,3,existing methods,4,data,4,integrating,4,shared,4
different types,3,a dataset,3,topic modeling,3,high precision,4,the percentage,4,developing,4,creating,4
the level,3,social biases,3,a way,3,the ability,4,these methods,4,probing,4,enable,4
a neural model,3,the proposed method,3,cross-lingual transfer,3,news articles,4,existing approaches,3,vary,4,relying on,4
the size,3,transformers,3,new words,3,a precision,4,universal dependencies,3,adding,4,used to assess,4
can the application,3,neural networks,3,improved performance,3,users,3,natural language processing tasks,3,used to achieve,4,pretraining,4
the extraction,3,filtering,3,the relationships,3,transformer-based models,3,results,3,to detect,4,used to generate,4
a supervised approach,3,attention,3,attention,3,significant improvements,3,low-resourced languages,3,architectures,4,used to achieve,4
neural machine translation models,3,a supervised classification model,3,methods,3,multilingual machine translation systems,3,test sets,3,pooling,4,incorporate,4
topic models,3,data augmentation,3,other languages,3,reproducibility,3,the biomedical domain,3,make,4,increase,4
the correlation,3,bert embeddings,3,xlm-r,3,dependency parsing,3,a parser,3,applying,4,to ec7,4
techniques,3,human judgments,3,semantic similarity,3,back-translation,3,idioms,3,to incorporate,4,combines,4
the relationship,3,the complexities,3,data augmentation,3,both languages,3,different datasets,3,extracted from,3,trained to achieve,4
lstm networks,3,the annotated corpus,3,their ability,3,the distribution,3,the bleu score,3,transfer,3,optimizing,4
the likelihood,3,researchers,3,machine learning algorithms,3,the addition,3,social media platforms,3,differ from,3,assess,4
transformer-based architectures,3,tweets,3,target languages,3,additional training data,3,word embeddings,3,ec1 on,3,supervised,4
pre-trained bert models,3,machine translation tasks,3,offensive language,3,images,3,concepts,3,graph,3,model,4
embeddings,3,the accessibility,3,srl models,3,the translation,3,human judgments,3,associated with,3,decoding,4
pre-trained multilingual models,3,the usability,3,text classification,3,a significant improvement,3,significant improvements,3,personalizing,3,trained to predict,4
deep neural networks,3,the use,3,tasks,3,genes,3,the constraints,3,to extract,3,measure,4
crfs,3,deep learning methods,3,questions,3,the model's ability,3,correlation,3,collecting,3,to measure,4
the annotation process,3,sequence,3,a dataset,3,different types,3,the size,3,adapted to incorporate,3,influence,4
a supervised classifier,3,reinforcement learning,3,annotation,3,the size,3,named entity recognition,3,reconstructing,3,classifying,4
machine translation,3,wordnet,3,machine translation outputs,3,competitive results,3,changes,3,used to investigate,3,to identify,4
