EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
the integration,36,the-art,30,high accuracy,24,accuracy,34,accuracy,34,ec1,137,measured by,46
a transformer-based architecture,35,high accuracy,25,the-art,24,performance,26,the implications,25,ec1 using,91,capture,41
the incorporation,34,the quality,23,accuracy,20,languages,24,high accuracy,20,used to improve,61,trained on,36
the application,32,better performance,17,performance,19,low-resource languages,21,low-resource languages,17,outperform,58,to improve,25
large language models,25,higher accuracy,17,low-resource languages,19,they,21,they,17,enhance,53,leveraging,23
word embeddings,25,the nuances,17,machine translation systems,16,high accuracy,20,processing time,16,trained on,45,evaluating,22
the proposed method,23,machine translation systems,16,languages,16,the key factors,18,performance,16,measured by,43,detecting,21
the proposed approach,22,the efficiency,13,the quality,14,the impact,17,this approach,16,ec1 with,35,to achieve,17
the combination,20,word embeddings,13,they,14,the overall performance,16,english,15,trained,35,contribute to,17
machine learning models,20,machine translation models,12,better performance,12,their performance,16,metrics,15,provide,33,identify,17
the proposed model,18,bert,12,english,12,the implications,16,the key factors,14,to improve,32,predict,16
the addition,18,named entity recognition,12,text,12,the-art,15,the quality,13,leveraging,30,relate to,16
the inclusion,17,conjunction,12,the development,11,this approach,13,the impact,12,identify,30,maintaining,15
the development,16,the effectiveness,11,named entity recognition,11,machine translation systems,11,the-art,12,capture,29,reducing,15
a combination,16,low-resource languages,10,machine translation,11,the quality,11,words,11,translating,27,achieving,15
high accuracy,15,speech,10,the efficiency,10,a combination,10,traditional methods,11,used to develop,25,ec8,15
the effectiveness,15,-,10,the nuances,10,machine translation,10,their performance,11,reduce,25,provide,14
machine translation systems,15,the development,9,their performance,9,english,10,languages,10,detecting,25,used to improve,14
machine learning algorithms,14,the detection,9,the number,9,text,9,the effectiveness,10,utilizing,25,translating,14
a deep learning-based approach,14,text,9,speech,8,-,9,domain,10,enable,24,evaluate,14
language models,13,a combination,9,words,7,entities,9,precision,10,reducing,23,detect,14
sequence,13,fine-tuning,8,the robustness,7,sentences,8,models,9,evaluating,22,enhance,14
transformer-based models,11,language models,8,domain,7,low-resource language pairs,8,the model,9,used to evaluate,22,requiring,12
the proposed dataset,11,languages,8,bleu scores,7,machine translation tasks,8,machine translation systems,8,evaluated using,22,analyzing,12
