EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
the performance,51,the performance,161,the performance,134,the performance,135,the performance,87,using,437,using,273
the context,49,the accuracy,58,terms,46,terms,76,terms,69,ec1,167,compared to,196
effectiveness,32,the quality,29,the-art,33,it,34,it,48,affect,164,improving,83
the effectiveness,29,terms,25,the accuracy,31,the-art,29,the accuracy,35,improve,140,improve,66
the use,27,the effectiveness,22,the quality,23,the quality,29,the-art,31,improving,133,compare to,62
it,27,llms,14,machine translation,18,the accuracy,28,english,27,compared to,85,considering,59
ways,26,large language models,13,accuracy,17,english,28,performance,26,identifying,66,affect,54
the accuracy,25,language models,13,english,16,machine translation,24,accuracy,26,incorporating,59,based on,31
the-art,25,the use,13,-,15,performance,19,they,22,predicting,52,ec8,29
impact,24,the-art,13,words,14,impact,19,machine translation,20,compare to,47,contribute to,28
factors,24,bert,12,bert,13,accuracy,17,the context,16,considering,38,identifying,27
evaluation metrics,20,-,12,performance,12,the context,15,impact,15,evaluating,38,measured by,24
large language models,18,speech,12,llms,11,-,12,the quality,12,generating,36,generating,24
machine translation systems,15,domain,12,languages,11,words,12,text,11,detecting,36,predicting,24
strategies,15,performance,11,sentences,11,nlp,11,-,10,learning,36,maintaining,24
the quality,13,word embeddings,11,they,11,training,11,languages,10,combining,35,demonstrated by,23
the combination,12,training,11,training,11,they,11,factors,10,improved,34,trained on,22
a supervised classification model,12,back-translation,10,nlp,10,various languages,11,translations,9,to improve,33,have on,20
methods,12,information,10,the use,10,word embeddings,11,comparison,9,achieving,33,applied to,19
the efficiency,12,words,9,it,10,the development,9,various languages,8,training,32,evaluating,18
the proposed method,12,errors,9,language models,10,languages,9,processing time,8,translating,32,to improve,18
end,12,models,9,neural machine translation,9,neural machine translation,9,spanish,8,contribute to,29,learning,17
techniques,11,text,9,the context,9,different languages,9,their performance,8,used to measure,29,incorporating,16
the proposed approach,11,high accuracy,8,efficiency,9,models,9,domain,8,creating,29,shared,16
a model,11,machine translation,8,the effectiveness,9,domain,9,this approach,8,based,28,analyzing,15
the potential,11,effectiveness,7,speech,7,sentences,9,speech,8,employing,24,detecting,15
sequence,11,features,7,the development,7,spanish,8,the use,7,based on,24,predict,14
machine learning models,10,end,7,the translation,7,processing time,8,task,7,measuring,22,based,14
the distribution,10,natural language processing,6,the identification,7,bert,8,the number,7,trained on,22,answering,13
the incorporation,10,different types,6,text,7,speech,8,insights,7,utilizing,21,enhancing,13
the factors,10,the translation,6,word embeddings,7,results,8,models,7,reducing,20,achieving,13
metrics,9,weaknesses,6,models,7,fine-tuning,8,nlp,7,develop,20,classifying,12
deep learning models,9,machine translation models,6,sequence,7,german,7,the development,7,integrating,20,utilizing,12
the application,9,the proposed method,6,fine-tuning,7,transformer-based models,7,translation,7,utilized to improve,19,extracting,12
the addition,8,data,6,word,7,information,7,the impact,7,parsing,19,identify,12
the proposed model,8,the identification,6,domain,7,translations,7,neural machine translation,7,provide,18,to achieve,11
back-translation,8,sequence,6,the training,6,their performance,7,natural language processing,6,extracting,18,including,11
data augmentation,7,the development,5,low-resource languages,6,human judgments,7,data,6,applied to,18,handling,11
the inclusion,7,the correlation,5,errors,6,data,7,texts,6,used to assess,18,provide,10
the training,7,utterances,5,a sentence,6,recurrent neural networks,6,translation quality,6,named,18,to enhance,10
the precision,7,neural machine translation,5,large language models,6,quality,6,sentences,6,to achieve,17,addressing,10
the characteristics,7,sentences,5,under-resourced languages,6,the efficiency,6,french,6,capturing,17,demonstrated in,10
computational methods,7,accuracy,5,their performance,6,nmt,6,bert,6,applying,17,focusing on,10
the integration,7,the robustness,5,back-translation,6,translation quality,6,other languages,6,embedding,17,impact,10
deep learning methods,7,lstm,5,ner,6,multiple languages,6,quality,6,impact,17,building,9
machine translation,7,documents,5,machine translation systems,5,this approach,6,them,6,proposed,17,linking,9
the structure,7,backtranslation,5,human judgments,5,low-resource languages,6,ability,6,handling,16,reducing,9
domain,7,word,5,texts,5,factors,6,context,6,developing,16,training,9
the optimal methods,6,challenges,5,the robustness,5,relation extraction,6,end,6,including,16,embedding,9
automatic metrics,6,language,5,french,5,twitter,6,machine translation models,5,ec8,16,translating,9
machine translation models,6,multi-task learning,5,evaluation metrics,5,french,6,existing methods,5,achieve,15,compare in,9
transformer models,6,a combination,5,machine translation tasks,5,end,6,machine translation systems,5,trained,15,to learn,9
computational models,6,neural networks,5,the translation quality,5,brazilian portuguese,6,different languages,5,enhance,15,pairs,9
the performance differences,6,sentiment,5,the precision,5,ner,6,training,5,demonstrated by,15,combining,8
the efficacy,6,back translation,5,transformer models,5,machine translation systems,5,the results,5,used,15,capture,8
the challenges,6,the reliability,4,transformer,5,text classification tasks,5,efficiency,5,annotating,15,used in,8
word embeddings,6,the transformer architecture,4,pre-trained language models,5,the task,5,wikipedia,5,compare,15,achieve,8
the alignment,6,the annotation,4,the results,5,mwes,5,the task,5,addressing,14,improved,8
training,6,the improvement,4,context,5,tasks,5,features,5,improved using,14,compare,8
speech,6,the coherence,4,forward translation,5,corpora,5,bleu,5,predict,13,reduce,8
data,6,the efficiency,4,the bleu score,4,large language models,5,a knowledge base,5,optimized to improve,13,to ec8,8
conditions,6,the training,4,german,4,other models,5,language models,5,vary,13,used,8
an ensemble,6,the process,4,the translation accuracy,4,the translation quality,5,inter-annotator agreement,4,classifying,13,supervised,8
-,6,neural machine translation systems,4,the transformer model,4,the success,5,classification,4,supervised,13,named,8
performance,6,the detection,4,machine learning models,4,different types,5,low-resourced languages,4,adapting,12,developing,7
ner,6,the translation quality,4,tasks,4,comparison,5,sentence embeddings,4,shared,12,learn,7
the impact,5,knowledge,4,the representation,4,llms,5,low-resource languages,4,improved for,11,observed in,7
the,5,they,4,effectiveness,4,back translation,5,evaluation metrics,4,recognizing,11,containing,7
the introduction,5,algorithm,4,the correlation,4,entities,5,japanese,4,ensuring,11,handle,7
the comparative performance,5,translation quality,4,natural language processing tasks,4,the overall performance,5,understanding,4,maintaining,11,existing,7
the development,5,a transformer-based architecture,4,natural language processing,4,monolingual data,5,corpora,4,enhancing,11,evaluated using,7
effective methods,5,language modeling,4,combinatory categorial grammar,4,the bleu score,5,dependency parsing,4,assessing,11,e improved,7
transformer-based architectures,5,different languages,4,a question,4,upper sorbian,5,text classification tasks,4,learn,11,compare with,7
the optimal method,5,the bleu scores,4,the ability,4,the impact,5,a corpus,4,identify,10,to capture,7
the feasible methods,5,mwes,4,consistency,4,hindi,5,human judgements,4,utilized for,10,enhance,7
the robustness,5,corpora,4,transformer-based models,4,the reliability,4,the bleu score,4,encoding,10,outperforming,6
the transformer model,5,languages,4,corpora,4,systems,4,wmt,4,converting,10,to predict,6
a combination,5,comparison,4,the challenges,4,better performance,4,named entities,4,have on,10,to identify,6
bert,5,french,4,the bleu scores,4,natural language processing,4,russian,4,used to improve,10,evaluate,6
the correlation,5,transformer models,4,techniques,4,the extraction,4,the key factors,4,facilitating,10,selecting,6
a machine learning model,5,this paper,4,translations,4,translation,4,catalan,4,ec1 for,10,shown in,6
transformer-based models,5,algorithms,4,documents,4,text classification,4,large language models,4,ec1 using,10,providing,6
a classifier,5,relations,4,bpe,4,texts,4,these methods,4,developed,10,capturing,6
transformer-based language models,5,entities,4,named entity recognition,4,pre-trained language models,4,upper sorbian,4,perform,10,modeling,6
pre-trained models,5,human evaluation,4,translation,4,images,4,bleu scores,4,perform in,10,related to,6
the results,5,the context,4,time,4,news translation,4,a focus,4,existing,10,maintain,6
the method,5,low-resource languages,4,the efficiency,4,the evaluation,4,word embeddings,4,evaluated using,10,correcting,6
the proposed methods,4,data selection,4,features,4,language resources,4,tasks,4,used to evaluate,9,categorizing,6
a supervised machine learning model,4,an ensemble,4,relationships,4,relation,4,under-resourced languages,4,building,9,perform,6
the optimal strategies,4,nlp,4,processing time,4,task,4,the translation quality,4,designed,9,associated with,5
the strengths,4,knowledge distillation,4,parallel corpora,4,entity,4,convolutional neural networks,4,answering,9,to generate,5
accuracy,4,english,4,joint learning,4,xlm-roberta,4,the identification,4,optimized,9,ensuring,5
the design,4,idioms,4,information,4,downstream tasks,4,the field,4,selecting,9,meaning,5
the usage,4,a language model,4,data,4,russian,4,hindi,4,analyzing,9,dealing with,5
the potential impact,4,lemmatization,3,users,4,existing methods,4,coverage,4,aligning,9,producing,5
improvements,4,the interpretability,3,word2vec,4,the translation,4,the purpose,4,extending,8,", compared",5
a neural language model,4,the high performance,3,tweets,4,data augmentation,4,word,4,decoding,8,of ec1 comp,5
the key factors,4,the generalization,3,questions,4,the ability,4,concepts,4,compare with,8,measure,5
the choice,4,processing time,3,existing methods,4,a model,4,a model,4,trained using,8,combines,5
the size,4,larger parameter sizes,3,end,4,bleu scores,4,better performance,4,augmenting,8,indicated by,5
neural machine translation systems,4,transfer learning,3,the evaluation,3,a corpus,4,downstream nlp tasks,3,containing,8,utilized to improve,5
the feasibility,4,method,3,a combination,3,the proposed method,4,words,3,producing,8,1 compare,5
the reliability,4,byte pair encoding,3,human evaluation,3,the effectiveness,4,sign language translation,3,reduce,8,interpreting,5
the approach,4,the classification accuracy,3,multiple languages,3,tamil,4,llms,3,ec1 in,7,preserving,5
the performance comparison,4,the predictions,3,supervised classification models,3,back-translation,4,biomedical translation tasks,3,capture,7,address,5
the proposed neural network model,4,the evaluation,3,factors,3,machine learning models,4,multiple languages,3,utilized to develop,7,use,5
transfer learning,4,multilingual models,3,emotion detection,3,lack,4,evaluation,3,applied to improve,7,annotating,5
the potential benefits,4,offensive language,3,competitive results,3,the consistency,4,improved accuracy,3,transferring,7,utilizes,5
word embedding models,4,the task,3,higher accuracy,3,model ensemble,4,the training data,3,used to compare,7,trained with,5
inter-annotator agreement,4,bert embeddings,3,robustness,3,language,3,deep learning models,3,demonstrate,7,trained,5
the potential applications,4,the precision,3,the task,3,the results,3,the analysis,3,differ,7,employs,5
a transformer-based model,4,efficiency,3,mwes,3,a transformer-based architecture,3,computational efficiency,3,modeling,7,used to improve,4
the construction,4,graph theory,3,improved performance,3,the need,3,domains,3,providing,7,understanding,4
the absence,4,hate speech,3,universal dependencies,3,the training data,3,named entity recognition,3,utilized to enhance,6,combined with,4
the degree,4,named entities,3,training data,3,tweets,3,improved performance,3,optimized to achieve,6,labeling,4
