EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
effectiveness,30,the quality,23,the-art,31,english,23,the-art,29,ec1,131,maintaining,27
the effectiveness,24,the effectiveness,17,the quality,20,the-art,23,english,24,predicting,50,contribute to,23
ways,22,large language models,14,machine translation,17,accuracy,22,performance,22,achieving,37,trained on,22
the-art,21,language models,13,accuracy,15,machine translation,21,accuracy,21,generating,36,demonstrated by,21
factors,17,the-art,13,performance,13,performance,20,they,20,detecting,36,ec8,21
evaluation metrics,16,llms,11,english,13,the quality,19,machine translation,14,learning,36,applied to,19
strategies,15,performance,10,llms,11,-,12,the quality,10,evaluating,31,have on,19
large language models,14,accuracy,10,bert,11,they,11,-,9,trained on,31,measured by,16
end,14,-,10,words,11,the development,9,their performance,9,training,29,to improve,16
machine translation systems,13,words,9,training,11,languages,9,translation quality,8,contribute to,28,generating,15
the combination,11,bert,9,neural machine translation,10,words,9,machine translation systems,8,to improve,28,demonstrated in,14
the proposed approach,11,speech,9,they,10,nlp,9,french,8,combining,28,analyzing,13
techniques,10,information,9,nlp,9,domain,9,factors,8,used to measure,28,compare in,13
a supervised classification model,9,text,9,-,9,word embeddings,9,languages,8,translating,27,to achieve,11
methods,9,training,9,languages,8,processing time,9,comparison,8,improved,26,detecting,11
the quality,9,high accuracy,8,sentences,8,training,8,various languages,7,based,26,predicting,11
metrics,9,errors,8,back-translation,8,quality,8,processing time,7,demonstrated by,25,focusing on,11
the efficiency,9,models,8,the development,7,various languages,8,spanish,7,applied to,20,learning,11
the potential,9,back-translation,8,low-resource languages,7,factors,8,task,7,measured by,20,predict,10
a model,9,domain,8,models,7,models,8,insights,7,utilizing,20,embedding,10
the proposed method,9,word embeddings,7,language models,7,sentences,8,the bleu score,7,creating,19,evaluating,9
the factors,9,features,7,errors,6,multiple languages,7,domain,7,reducing,18,shared,9
deep learning models,8,sequence,7,texts,6,translations,7,this approach,7,integrating,18,linking,9
the application,8,machine translation models,6,text,6,bert,7,existing methods,6,parsing,17,enhancing,9
the distribution,8,neural machine translation,6,word embeddings,6,task,7,training,6,employing,17,classifying,8
sequence,8,machine translation,6,processing time,6,different languages,7,ability,6,capturing,17,to enhance,8
back-translation,8,natural language processing,5,the effectiveness,6,data,7,language models,6,measuring,17,identify,8
data augmentation,7,the development,5,translations,6,fine-tuning,7,models,6,ec8,17,compare,8
transformer models,7,the correlation,5,end,6,speech,7,traditional methods,6,extracting,17,reducing,8
the training,7,machine learning models,5,the training,5,text classification tasks,6,speech,6,developing,16,achieving,8
computational methods,7,the translation,5,tasks,5,large language models,6,data,5,to achieve,16,utilizing,8
the incorporation,7,language,5,human judgments,5,nmt,6,efficiency,5,ec1 for,16,including,8
the addition,7,the proposed method,5,the task,5,the translation quality,6,natural language processing tasks,5,applying,16,annotating,8
the proposed model,7,the identification,5,the transformer model,5,their performance,6,translations,5,develop,16,existing,8
machine translation,7,documents,5,a sentence,5,information,6,other languages,5,have on,15,combining,7
the structure,7,languages,5,the translation quality,5,low-resource languages,6,the number,5,shared,15,improved,7
automatic metrics,6,transformer models,5,natural language processing tasks,5,spanish,6,wmt,5,proposed,15,outperform,7
the development,6,backtranslation,5,different languages,5,the overall performance,6,translation,5,utilized to improve,14,translating,7
the integration,6,data,5,word,5,neural machine translation,6,the impact,5,embedding,14,answering,7
word embeddings,6,different types,4,french,5,recurrent neural networks,5,text,5,including,14,handling,7
the inclusion,6,the efficiency,4,domain,5,german,5,word,5,classifying,14,shown in,7
deep learning methods,6,utterances,4,machine translation systems,4,transformer-based models,5,entities,5,named,14,compare with,7
-,6,the translation quality,4,german,4,the efficiency,5,end,5,pairs,14,enhance,7
domain,6,effectiveness,4,the representation,4,efficiency,5,sign language translation,4,supervised,14,reduce,7
ner,6,the detection,4,improved performance,4,translation,5,llms,4,handling,13,based,7
the impact,5,sentences,4,evaluation metrics,4,this approach,5,texts,4,improved for,13,building,6
the optimal methods,5,translation quality,4,the ability,4,machine translation models,5,sentence embeddings,4,predict,13,observed in,6
the introduction,5,the precision,4,efficiency,4,translation quality,5,sentences,4,enhance,13,addressing,6
machine translation models,5,the robustness,4,their performance,4,results,5,the analysis,4,used to assess,13,handle,6
the performance differences,5,time,4,combinatory categorial grammar,4,russian,5,corpora,4,annotating,13,used in,6
the efficacy,5,different languages,4,the translation,4,machine translation systems,4,russian,4,recognizing,12,preserving,6
the precision,5,efficiency,4,translation,4,the extraction,4,named entities,4,optimized to improve,12,related to,6
the characteristics,5,end,4,a corpus,4,mwes,4,nlp,4,provide,12,extracting,6
the robustness,5,word,4,the efficiency,4,the results,4,the development,4,assessing,11,have for,6
the feasible methods,5,the bleu scores,4,the challenges,4,pre-trained language models,4,upper sorbian,4,trained,11,pairs,6
the challenges,5,challenges,4,fine-tuning,4,natural language processing,4,results,4,improved using,11,provide,5
the optimal method,5,their performance,4,the bleu scores,4,xlm-roberta,4,text classification tasks,4,adapting,11,capture,5
conditions,5,the representation,4,speech,4,texts,4,convolutional neural networks,4,analyzing,11,analyze,5
an ensemble,5,this paper,4,relationships,4,entity,4,the field,4,enhancing,11,outperforming,5
pre-trained models,5,algorithms,4,the results,4,comparison,4,the english-german language pair,4,addressing,10,containing,5
the method,5,the proposed model,4,translation tasks,4,existing methods,4,time,4,identify,10,facilitating,5
performance,5,offensive language,4,word2vec,4,the translation,4,the results,4,ensuring,10,evaluate,5
language models,5,multi-task learning,4,data,4,back translation,4,fine-tuning,4,learn,10,algorithms,5
the transformer model,5,transformer-based models,4,tweets,4,the bleu score,4,concepts,4,perform in,10,provided by,5
a supervised machine learning model,4,entities,4,existing methods,4,the task,4,context,4,used in,10,of ec1 comp,5
computational models,4,sentiment,4,the evaluation,3,human judgments,4,better performance,4,compare,10,ensuring,5
accuracy,4,nlp,4,multiple languages,3,bleu scores,4,shared task,4,encoding,9,providing,5
the comparative performance,4,ner,4,human evaluation,3,monolingual data,4,tasks,4,converting,9,address,5
effective methods,4,neural networks,4,the translation accuracy,3,french,4,the model,4,facilitating,9,utilizes,5
the choice,4,weaknesses,4,a question,3,the process,4,neural machine translation,4,demonstrated in,9,maintain,5
the approach,4,idioms,4,account,3,different types,4,improved performance,3,building,9,supervised,5
the alignment,4,knowledge distillation,4,the generation,3,data augmentation,4,inter-annotator agreement,3,compare with,9,applying,5
bert,4,lemmatization,3,robustness,3,the effectiveness,4,low-resourced languages,3,aligning,9,used for,5
the proposed neural network model,4,the interpretability,3,competitive results,3,lack,4,evaluation,3,optimized,9,correcting,5
neural machine translation systems,4,processing time,3,the robustness,3,the training data,4,biomedical translation tasks,3,selecting,9,trained,5
the feasibility,4,the coherence,3,lms,3,end,4,computational efficiency,3,answering,8,named,5
a combination,4,the annotation,3,natural language processing,3,the success,3,bert,3,influence,8,employs,5
the potential applications,4,the process,3,machine translation tasks,3,the perception,3,gender,3,used to evaluate,8,associated with,4
the potential benefits,4,knowledge,3,training data,3,images,3,norwegian,3,maintaining,8,consisting of,4
word embedding models,4,byte pair encoding,3,corpora,3,language resources,3,natural language processing,3,utilized for,8,produced by,4
a transformer-based model,4,the evaluation,3,factors,3,french tweets,3,human judgements,3,compare in,8,relying on,4
bert-based models,4,the transformer architecture,3,translation quality,3,corpora,3,annotated corpora,3,ec1 using,8,to predict,4
data,4,the reliability,3,emotion detection,3,tweets,3,these methods,3,existing,8,does e,4
the extent,4,method,3,deep learning,3,patterns,3,parameters,3,differ,8,according to,4
training,4,multilingual models,3,the precision,3,dependency parsing,3,a focus,3,linking,8,producing,4
a machine learning model,4,they,3,bleu scores,3,topics,3,data augmentation,3,containing,8,involving,4
the results,4,graph theory,3,the challenge,3,readability,3,the evaluation,3,improved by,8,comparing,4
the construction,4,hate speech,3,downstream applications,3,effectiveness,3,information technology,3,evaluated using,8,dealing with,4
machine learning models,4,a transformer-based architecture,3,length,3,the current state,3,pre-trained language models,3,producing,8,to ec8,4
the number,4,changes,3,the prediction,3,the purpose,3,wikipedia,3,perform,8,reveal,4
neural machine translation,4,machine translation systems,3,concepts,3,llms,3,the portuguese language,3,providing,8,derived from,4
speech,4,the improvement,3,nmt,3,classification,3,relevance,3,ec1 in,7,contexts,4
way,4,french,3,news translation,3,domains,3,conditions,3,ec1 with,7,representing,4
the proposed methods,3,verbs,3,named entity recognition,3,nmt systems,3,evaluation metrics,3,to ensure,7,utilized to improve,4
