url,research_question
https://aclanthology.org/2024.conll-1.12/,Can the use of large language models to extract narrative elements and compute story similarity scores from film scripts improve human evaluation results?
https://aclanthology.org/J76-3001/,"What are the most effective methods for automatically annotating geological images to improve the accuracy of geologist's visual inspections and classification tasks in the field, and how can these methods be integrated with existing workflows to measure their impact on processing time and user satisfaction? Can the application of deep learning techniques such as convolutional neural networks to improve the accuracy of geological image classification be further validated using real-world datasets and field trials?"
https://aclanthology.org/2020.lrec-1.135/,Can gestures and long silent pauses in speech be used to predict audience reaction without relying on other speech information?
https://aclanthology.org/R17-1082/,"Does a lexical fixedness metric improve the performance of idiom type identification tasks, and how can a machine learning approach be designed to effectively utilize such a metric? Can a machine learning model achieve a high F1-score in idiom type identification using a lexical fixedness metric?"
https://aclanthology.org/2021.wmt-1.23/,"Can the proposed data filtering and selection techniques using rules, language models, and word alignment significantly improve the translation performance of ZengHuiMT on the English to Chinese direction, as measured by BLEU score, and how do the results compare to the baseline model without these techniques?"
https://aclanthology.org/2020.lrec-1.159/,"Can the use of machine learning algorithms on the proposed corpora of humour and non-humourous text improve the recognition of verbal humour in Portuguese, as measured by user satisfaction ratings?"
https://aclanthology.org/2025.cl-1.2/,Can the use of artificial intelligence in facilitating knowledge sharing among researchers be compared to traditional collaborative models in the Proteus Project?
https://aclanthology.org/2021.ranlp-1.74/,"How do linguistic phenomena such as semantic roles, presuppositions, and negations affect the performance of transformer-based language models in masked language modeling, particularly in non-English language models?"
https://aclanthology.org/2024.wmt-1.9/,Can CycleGN with MLM pre-training be used to improve the accuracy of translation tasks on permuted non-parallel datasets and how does its performance compare to the traditional Cycle Consistency Loss approach? Can CycleGN with MLM pre-training be used to improve the accuracy of translation tasks on non-intersecting non-parallel datasets and how does its performance compare to the traditional Cycle Consistency Loss approach?
https://aclanthology.org/2020.lrec-1.485/,Can the Expectation Maximization algorithm for training unigram subword models outperform the original recursive training algorithm of the Morfessor Baseline model in terms of morphological segmentation accuracy for morphologically complex languages like North Sami?
