url,research_question
https://aclanthology.org/2020.lrec-1.200/,"Can the emotion annotated corpus (CEASE) of suicide notes, created in this study, be utilized to develop more effective mental health assessment and suicide prevention tools?"
https://aclanthology.org/2020.lrec-1.410/,"How can the transcription portal be further developed to improve its usability for non-technical scholars, considering the interdisciplinary nature of interview data and the specific challenges related to privacy, ASR quality, and cost?"
https://aclanthology.org/2023.ranlp-1.80/,"In comparison to traditional neural network models (LSTM, GRU, CNN) and linguistic feature-based models, how effective is the proposed Bangla transformer model in detecting clickbait titles in Bengali articles?"
https://aclanthology.org/2020.lrec-1.556/,"Can the annotated datasets for English and Russian news, built for the Location Phrase Detection task, facilitate the extraction of rich location information to support situational awareness during humanitarian crises such as natural disasters?"
https://aclanthology.org/2024.conll-babylm.10/,"How does the inclusion of a parser network in the ELC-BERT architecture affect the performance on unsupervised parsing tasks, as evaluated by the BLiMP and GLUE benchmarks?"
https://aclanthology.org/2021.ranlp-1.140/,"What are the factors contributing to the high performance (≈91% F1 score) of the Convolutional Neural Network (CNN) based Named Entity Recognizer (NER) for Serbian literary texts, and how does it compare with existing models?"
https://aclanthology.org/2020.wmt-1.76/,Can automatic metrics be used to flag incorrect human ratings when evaluating machine translation systems in the WMT20 News Translation Task?
https://aclanthology.org/2021.ranlp-1.77/,What is the real-time retrieval speed of a large translation memory (5 million segment pairs) using Lucene as an open source information retrieval search engine?
https://aclanthology.org/2020.lrec-1.649/,How can the performance of German dependency parsing be improved using a newly introduced tool that segments sentences into tree structures?
https://aclanthology.org/2020.lrec-1.186/,"What is the impact of emotion inducers, current psychological state, and conversational factors on the production and perception of emotion in automated agents, and how can these effects be quantified?"
https://aclanthology.org/K19-1010/,How does the organization of the second language in bilingual speakers' lexicon correspond to the similarity structure of cross-lingual word embeddings space?
https://aclanthology.org/2020.cl-3.3/,What evaluation metrics are used to compare the performance of deep-syntactic frameworks in representing sentence meaning across various linguistic theories and NLP-motivated approaches?
https://aclanthology.org/2021.ranlp-srw.16/,What is the effectiveness of local pruning compared to global pruning in achieving high-performing sparse networks for Aspect-based Sentiment Analysis (ABSA) tasks using a simple CNN model?
https://aclanthology.org/2020.lrec-1.348/,"How useful is the annotated dataset of approximately 50K news articles, created for the low resource language of Bangla, in developing automated fake news detection systems for this language?"
https://aclanthology.org/2020.lrec-1.158/,"Can media bias be accurately detected through self-supervised learning in news articles, and if so, what is the improvement in performance compared to traditional supervised learning methods?"
https://aclanthology.org/2020.lrec-1.393/,What is the effectiveness of sequence labeling in producing related words for reconstructing uncertified Latin words and filling in gaps in incomplete cognate sets in Romance languages with Latin etymology?
https://aclanthology.org/2020.wmt-1.87/,"Can the heavy data preprocessing pipeline developed for the English-Russian neural machine translation system be effectively applied to other language pairs, and what impact would it have on their translation performance?"
